RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 5,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,405,Reports at 04:51,,,,,,,,,,,
SPL,,,Departs Garage,,04:59,,,,,,,,,
24,,,Dublin Airport,,05:30,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,07:00,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,08:30,,,,,,,,,
,,,Broadstone (Stop #190),09:30,,,,,,,,,,
,Duty,405,Takes Bus 15 at 10:30 at Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,408,Takes up at 09:30 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,09:30,,,,,,,,,
24,,,Merrion Square,,10:00,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,11:30,,,,,,,,,
,,,Broadstone (Stop #190),12:30,,,,,,,,,,
,Finish,Duty,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,424,Takes up at 12:30 Broadstone,,,,,,,,,,,
,,,Broadstone (Stop #190),,12:30,,,,,,,,,
24,,,Merrion Square,,13:00,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Dublin Airport,,14:30,,,,,,,,,
,,,,,,,,,,,,,,
24,,,Merrion Square,,16:20,,,,,,,,,
,,,Constitution Hill (Stop #1619),17:00,,,,,,,,,,
,Duty,424,Takes Bus 19 at 18:00 at Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,Duty,440,Takes up at 17:00 Constitution Hill,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),,17:00,,,,,,,,,
24,,,Dublin Airport,,18:10,,,,,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,19:40,,,,,,,,,,
,,,Phibsboro Garage,20:10,,,,,,,,,,
,Duty ,440,Take bus 18 21:10 Broadstone,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 6,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,406,Reports at 05:02,,,,Duty,432,Reports at 15:27,,,,,
SPL,,,Departs Garage,,05:10,SPL,,,Departs Garage,,15:30,,,
23,,,Charlestown SC,,05:40,24,,,Merrion Square,,16:00,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,06:50,24,,,Dublin Airport,,17:50,,,
,,,,,,,,,Broadstone (Stop #190),18:45,,,,
23,,,Charlestown SC,,08:00,,Duty,432,Takes Bus 9 at 20:12 at Phibsboro Garage,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,09:30,,Duty,428,Takes up at 18:45 Broadstone,,,,,
,,,Constitution Hill (Stop #1619),10:05,,,,,Broadstone (Stop #190),,18:45,,,
,Duty,406,Takes Bus 14 at 11:05 at Constitution Hill,,,24,,,Merrion Square,,19:20,,,
,,,,,,,,,,,,,,
,Duty,457,Takes up at 10:05 Constitution Hill,,,24,,,Dublin Airport,,20:50,,,
,,,Constitution Hill (Stop #1619),,10:05,,,,,,,,,
23,,,Charlestown SC,,10:40,23,,,Merrion Square,,22:30,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,11:50,SPL,,,Charlestown SC,23:30,,,,
,,,,,,,,,Phibsboro Garage,00:00,,,,
23,,,Charlestown SC,,13:00,,Finish,Duty,,,,,,
,,,,,,,,,,,,,,
SPL,,,Merrion Square,14:10,,,,,,,,,,
,,,Phibsboro Garage,14:40,,,,,,,,,,
,Duty,457,Takes Bus 3 at 16:25 at Constitution Hill,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Monday to Friday,,,,,BUS 7,23.08.26,,,,
,,,,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep,,,
,,,,,,,,,,,,,,
,Duty,407,Reports at 05:07,,,,,,,,,,,
SPL,,,Departs Garage,,05:15,,Duty,419,Takes up at 17:00 Broadstone,,,,,
24,,,Dublin Airport,,05:50,,,,Broadstone (Stop #190),,17:00,,,
,,,,,,24,,,Merrion Square,,17:40,,,
23,,,Merrion Square,,07:30,,,,,,,,,
,,,Constitution Hill (Stop #1619),08:05,,24,,,Dublin Airport,,19:10,,,
,Duty,407,Takes Bus 4 at 09:15 at Constitution Hill,,,,,,,,,,,
,,,,,,SPL,,,Merrion Square,20:40,,,,
,Duty,451,Takes up at 08:05 Constitution Hill,,,,,,Phibsboro Garage,21:10,,,,
,,,Constitution Hill (Stop #1619),,08:05,,Finish,Duty,,,,,,
23,,,Charlestown SC,,08:40,,,,,,,,,
,,,,,,,,,,,,,,
23,,,Merrion Square,,10:10,,,,,,,,,
