RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
,,,Constitution Hill (Stop #1619),10:00,,,,,,,
,Duty,405,Takes Bus 10 at 11:20 at Constitution Hill,,,,,,,,
,,,,,,,,,,,
,Duty,457,Takes up at 10:00 Constitution Hill,,,,,,,,
,,,Constitution Hill (Stop #1619),,10:00,,,,,,
23,,,Charlestown SC,,10:50,,,,,,
,,,,,,,,,,,
24,,,Merrion Square,,12:00,,,,,,
,,,,,,,,,,,
24,,,Dublin Airport,,13:40,,,,,,
,,,Broadstone (Stop #190),14:40,,,,,,,
,Duty,457,Takes Bus 13 at 16:35 at Constitution Hill,,,,,,,,
,,,,,,,,,,,
,Duty,453,Takes up at 14:40 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,14:40,,,,,,
23,,,Merrion Square,,15:10,,,,,,
,,,,,,,,,,,
23,,,Charlestown SC,,16:30,,,,,,
,,,,,,,,,,,
23,,,Merrion Square,,17:50,,,,,,
,,,,,,,,,,,
SPL,,,Charlestown SC,19:10,,,,,,,
,,,Phibsboro Garage,19:35,,,,,,,
,Finish,Duty,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
RUNNING BOARD,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,
Routes 23/24,,,Phibsboro (007),Saturday,,,,,BUS 6,19.10.2025,
,,,,,,,,,,,
Route,,,Place,Arr,Dep,Route,,,Place,Arr,Dep
,,,,,,,,,,,
,Duty,406,Reports at 05:22,,,,,,,,
SPL,,,Departs Garage,,05:30,,Duty,419,Takes up at 15:55 Constitution Hill,,
23,,,Charlestown SC,,06:00,,,,Constitution Hill (Stop #1619),,15:55
,,,,,,24,,,Dublin Airport,,17:00
24,,,Merrion Square,,07:00,,,,,,
,,,,,,23,,,Merrion Square,,18:30
24,,,Dublin Airport,,08:20,,,,,,
,,,Broadstone (Stop #190),09:10,,SPL,,,Charlestown SC,19:40,
,Duty,406,Takes Bus 18 at 10:12 at Phibsboro Garage,,,,,,Phibsboro Garage,20:05,
,,,,,,,Finish,Duty,,,
,Duty,402,Takes up at 09:10 Broadstone,,,,,,,,
,,,Broadstone (Stop #190),,09:10,,,,,,
