RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
23, , ,Charlestown SC, ,10:55, , , , , , ,,
 , , , , , ,24, , ,Merrion Square, ,22:00,,
24, , ,Merrion Square, ,12:00, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),12:30, ,SPL, , ,Dublin Airport,23:25, ,,
 ,Finish,Duty, , , , , , ,Phibsboro Garage,23:55, ,,
 , , , , , , ,Finish,Duty, , , ,,
 ,Duty,454,Takes up at 12:30 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,12:30, , , , , , ,,
24, , ,Dublin Airport, ,13:20, ,Duty,471,Reports at 02:27, , ,,
 , , , , , ,SPL, , ,Departs Garage, ,02:30,,
23, , ,Merrion Square, ,14:45,24, , ,Dublin Airport, ,03:00,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,15:55,24, , ,Merrion Square, ,04:00,,
 , , ,Broadstone (Stop #190),16:30, , , , , , , ,,
 ,Finish,Duty, , , ,SPL, , ,Dublin Airport,05:00, ,,
 , , , , , , , , ,Phibsboro Garage,05:30, ,,
 , , , , , , ,Finish,Duty, , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 6,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,406,Reports at 06:47, , , , , , , , ,,
SPL, , ,Departs Garage, ,06:50, ,Duty,455,Takes up at 17:45 Broadstone, , ,,
23, , ,Charlestown SC, ,07:20, , , ,Broadstone (Stop #190), ,17:45,,
 , , , , , ,23, , ,Merrion Square, ,18:15,,
23, , ,Merrion Square, ,08:20, , , , , , ,,
 , , , , , ,SPL, , ,Charlestown SC,19:25, ,,
23, , ,Charlestown SC, ,09:20, , , ,Phibsboro Garage,19:50, ,,
 , , , , , , ,Finish,Duty, , , ,,
24, , ,Merrion Square, ,10:30, , , , , , ,,
 , , ,Constitution Hill (Stop #1619),11:00, , , , , , , ,,
 ,Duty,406,Takes Bus 1 at 12:15 at Constitution Hill, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,403,Takes up at 11:00 Constitution Hill, , , , , , , , ,,
 , , ,Constitution Hill (Stop #1619), ,11:00, , , , , , ,,
24, , ,Dublin Airport, ,11:50, , , , , , ,,
 , , ,Broadstone (Stop #190),12:45, , , , , , , ,,
 ,Finish,Duty, , , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,412,Takes up at 12:45 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,12:45, , , , , , ,,
23, , ,Merrion Square, ,13:15, , , , , , ,,
 , , , , , , , , , , , ,,
23, , ,Charlestown SC, ,14:25, , , , , , ,,
 , , ,Broadstone (Stop #190),15:00, , , , , , , ,,
 ,Duty,412,Takes Bus 1 at 16:22 at Phibsboro Garage, , , , , , , , ,,
 , , , , , , , , , , , ,,
 ,Duty,417,Takes up at 15:00 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,15:00, , , , , , ,,
24, , ,Merrion Square, ,15:30, , , , , , ,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,16:50, , , , , , ,,
 , , ,Broadstone (Stop #190),17:45, , , , , , , ,,
 ,Duty,417,Takes Bus 10 at 19:00 at Broadstone, , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
 , , , , , , , , , , , ,,
RUNNING BOARD,,,,,,,,,,,,,
BUS ATHA CLIATH   -   DUBLIN BUS,,,,,,,,,,,,,
Phibsboro Zone 4,,,,,,,,,,,,,
Routes 23/24,, ,Phibsboro (007),Sunday/Bank Holiday,,,,,BUS 7,19.10.2025,,,
 , , , , , , , , ,, , ,,
Route, , ,Place,Arr,Dep,Route, , ,Place,Arr,Dep,,
 , , , , , , , , , , , ,,
 ,Duty,407,Reports at 06:52, , , , , , , , ,,
SPL, , ,Departs Garage, ,07:00, ,Duty,419,Takes up at 19:30 Broadstone, , ,,
24, , ,Merrion Square, ,07:20, , , ,Broadstone (Stop #190), ,19:30,,
 , , , , , ,24, , ,Merrion Square, ,20:00,,
24, , ,Dublin Airport, ,08:40, , , , , , ,,
 , , , , , ,24, , ,Dublin Airport, ,21:25,,
24, , ,Merrion Square, ,10:00, , , , , , ,,
 , , , , , ,23, , ,Merrion Square, ,22:45,,
24, , ,Dublin Airport, ,11:20, , , , , , ,,
 , , ,Broadstone (Stop #190),12:15, ,SPL, , ,Charlestown SC,23:45, ,,
 ,Finish,Duty, , , , , , ,Phibsboro Garage,00:10, ,,
 , , , , , , ,Finish,Duty, , , ,,
 ,Duty,411,Takes up at 12:15 Broadstone, , , , , , , , ,,
 , , ,Broadstone (Stop #190), ,12:15, , , , , , ,,
23, , ,Merrion Square, ,12:45, ,Duty,473,Reports at 02:57, , ,,
 , , , , , ,SPL, , ,Departs Garage, ,03:00,,
23, , ,Charlestown SC, ,13:55,24, , ,Dublin Airport, ,03:30,,
 , , , , , , , , , , , ,,
24, , ,Merrion Square, ,15:00,24, , ,Merrion Square, ,04:30,,
 , , , , , , , , , , , ,,
24, , ,Dublin Airport, ,16:20,SPL, , ,Dublin Airport,05:30, ,,
 , , ,Broadstone (Stop #190),17:15, , , , ,Phibsboro Garage,06:00, ,,
 ,Duty,411,Takes Bus 2 at 18:52 at Phibsboro Garage, , , ,Finish,Duty, , , ,,
 , , , , , , , , , , , ,,
 ,Duty,451,Takes up at 17:15 Broadstone, , , , , , , , ,,
