shift,duty,report,depart,location,startbreak,startbreaklocation,breakreport,finishbreak,finishbreaklocation,finish,finishlocation,signoff,spread,work,relief
PZ4/3X,007453,06:47:00,06:55:00,PHIBPO,11:40:00,PSQW-PD(122),14:04:00,14:04:00,PSQE-PQ(9),17:50:00,PHIBPI,17:50:00,11:03:00,08:39:00,02:24:00
PZ4/4X,007454,06:52:00,07:00:00,PHIBPO,12:04:00,PSQE-PQ(9),15:40:00,15:40:00,PSQW-PD(122),18:45:00,PHIBPI,18:45:00,11:53:00,08:17:00,03:36:00
PZ4/5X,007455,06:57:00,07:05:00,PHIBPO,11:20:00,PSQE-PQ(122),14:28:00,14:28:00,PSQE-PQ(9),18:15:00,PSQE-PQ(9),18:27:00,11:30:00,08:22:00,03:08:00
PZ4/6X,007456,07:07:00,07:15:00,PHIBPO,09:15:00,PSQW-PE(9),10:55:00,10:55:00,PSQW-PE(9),16:04:00,PSQE-PQ(9),16:16:00,09:09:00,07:29:00,01:40:00
PZ4/7X,007457,07:12:00,07:20:00,PHIBPO,11:55:00,PHIBPI(122),14:26:00,14:38:00,PSQW-PE(9),18:10:00,PHIBPI,18:10:00,10:58:00,08:27:00,02:31:00
PZ4/8X,007458,07:17:00,07:25:00,PHIBPO,11:40:00,PSQE-PQ(122),16:09:00,16:09:00,PSQE-PQ(122),19:05:00,PHIBPI,19:05:00,11:48:00,07:19:00,04:29:00
PZ4/9X,007459,07:27:00,07:35:00,PHIBPO,09:10:00,PSQE-PQ(9),11:20:00,11:20:00,PSQE-PQ(122),16:00:00,PSQW-PD(122),16:12:00,08:45:00,06:35:00,02:10:00
PZ4/10X,007460,07:32:00,07:40:00,PHIBPO,11:04:00,PSQE-PQ(9),15:16:00,15:16:00,PSQE-PQ(9),19:00:00,PHIBPI,19:00:00,11:28:00,07:16:00,04:12:00
PZ4/11X,007461,07:37:00,07:45:00,PHIBPO,10:35:00,PHIBPI(122),14:48:00,15:00:00,PSQW-PD(122),19:15:00,PHIBPI,19:15:00,11:38:00,07:25:00,04:13:00
PZ4/12X,007462,07:50:00,08:05:00,PSQW-PD(122),12:40:00,PSQE-PQ(122),16:05:00,16:20:00,PHIBPO(122),19:25:00,PHIBPI,19:25:00,11:35:00,08:10:00,03:25:00
PZ4/13X,007463,07:57:00,08:05:00,PHIBPO,10:50:00,PHIBPI(122),15:20:00,15:23:00,PHIBPO(122),19:30:00,PHIBPI,19:30:00,11:33:00,07:03:00,04:30:00
PZ4/14X,007464,08:02:00,08:10:00,PHIBPO,11:40:00,PSQE-PQ(9),15:43:00,15:43:00,PSQW-PE(9),19:30:00,PHIBPI,19:30:00,11:28:00,07:25:00,04:03:00
PZ4/15X,007465,08:20:00,08:35:00,PSQW-PD(122),12:00:00,PSQW-PD(122),14:55:00,14:55:00,PSQE-PQ(122),19:40:00,PHIBPI,19:40:00,11:20:00,08:25:00,02:55:00
PZ4/16X,007466,08:30:00,08:45:00,PSQE-PQ(122),11:55:00,PSQE-PQ(122),15:55:00,15:55:00,PSQW-PE(9),19:45:00,PSQW-PE(9),19:57:00,11:27:00,07:27:00,04:00:00
PZ4/17X,007467,08:35:00,08:50:00,PSQW-PE(9),12:19:00,PSQW-PE(9),15:28:00,15:28:00,PSQE-PQ(9),19:05:00,PHIBPI,19:05:00,10:30:00,07:21:00,03:09:00
PZ4/18X,007468,08:55:00,09:10:00,=,12:52:00,PSQE-PQ(9),15:40:00,15:40:00,PSQE-PQ(9),19:10:00,PHIBPI,19:10:00,10:15:00,07:27:00,02:48:00
PZ4/19X,007469,09:00:00,09:15:00,PSQW-PE(9),12:38:00,PSQW-PE(9),14:55:00,14:55:00,PSQW-PE(9),19:59:00,PHIBPI,19:59:00,10:59:00,08:42:00,02:17:00
PZ4/20X,007470,09:35:00,09:50:00,PSQW-PE(9),13:19:00,PSQW-PE(9),15:50:00,16:05:00,PHIBPO(9),19:40:00,PSQE-PQ(9),19:52:00,10:17:00,07:46:00,02:31:00
PZ4/21X,007471,09:49:00,10:04:00,PSQE-PQ(9),13:40:00,PSQE-PQ(9),17:45:00,17:45:00,PSQE-PQ(122),19:30:00,PSQW-PD(122),19:42:00,09:53:00,05:48:00,04:05:00
