Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
433,,,,,,,,,Duty 433 Finished Duty
434,,,Takes up at PSQW 18:25,,,,,,Duty 434 takes up at 18:25
434,,,PSQW,,Takes up at PSQW 18:25,PSQW,,18:25:00,
434,,,Charlestown,9,PSQW,Charlestown,,19:20:00,
434,,,Limekiln,9,Charlestown,Limekiln,,21:00:00,
434,,,PSQW,,Limekiln,PSQW,21:40:00,,
434,,,,,,,,,Duty 434 Finished Duty
434,,,Takes up at PSQW 21:40,,PSQW,Takes up at PSQW 21:40,,,
434,,,Takes up at PSQW 13:36,,,,,,Duty 434 Finished Duty
434,,,PSQW,,Takes up at PSQW 13:36,PSQW,,13:36:00,
434,,,Charlestown,9,PSQW,Charlestown,,14:24:00,
434,,,Limekiln,9,Charlestown,Limekiln,,16:20:00,
434,,,PSQW,,Limekiln,PSQW,17:20:00,,
434,,,Takes bus 3 (Route 9) at 18:25 PSQW,,,,,,Takes Bus 3 (Route 9) at 18:25 psqw
434,,,Phibsboro (007),ROUTE 9,Takes bus 3 (Route 9) at 18:25 PSQW,Phibsboro (007),,,
435,,,Takes up at PSQE 13:40,,,,,,Duty 435 takes up at 13:40
435,,,PSQE,,Takes up at PSQE 13:40,PSQE,,13:40:00,
435,,,Limekiln,9,PSQE,Limekiln,,14:48:00,
435,,,PSQW,,Limekiln,PSQW,15:43:00,,
435,,,Takes bus 12 (Route 9) at 17:21 PSQE,,PSQW,Takes bus 12 (Route 9) at 17:21 PSQE,,,Takes Bus 12 (Route 9) at 17:21 psqe
435,,,Takes up at PSQW 15:43,,Takes bus 12 (Route 9) at 17:21 PSQE,Takes up at PSQW 15:43,,,
435,,,Takes up at PSQE 17:21,,,,,,Duty 435 takes up at 17:21
435,,,PSQE,,Takes up at PSQE 17:21,PSQE,,17:21:00,
435,,,Limekiln,9,PSQE,Limekiln,,18:40:00,
435,,,Charlestown,9,Limekiln,Charlestown,,20:20:00,
436,,,Takes up at PSQE 20:20,,,,,,Duty 436 takes up at 20:20
436,,,PSQE,,Takes up at PSQE 20:20,PSQE,,20:20:00,
436,,,Limekiln,9,PSQE,Limekiln,,21:20:00,
436,,,Charlestown,9,Limekiln,Charlestown,,22:40:00,
436,,,Limekiln,SPL,Charlestown,Limekiln,23:50:00,,
436,,,Phibsboro Garage,,Limekiln,Phibsboro Garage,,,
436,14:32,,Reports at 14:32,,,,,,Duty 436 reports at 14:32
436,,14:35:00,Departs Garage,SPL,Reports at 14:32,Departs Garage,,14:35:00,
436,,,Ashington,122,Departs Garage,Ashington,,15:10:00,
436,,,Drimnagh,122,Ashington,Drimnagh,,16:40:00,
436,,,Ashington,122,Drimnagh,Ashington,,18:30:00,
436,,,PSQE,,Ashington,PSQE,19:05:00,,
436,,,Takes bus 9 (Route 9) at 20:20 PSQE,,,,,,Takes Bus 9 (Route 9) at 20:20 psqe
437,,,Takes up at PSQE 20:35,,,,,,Duty 437 takes up at 20:35
437,,,PSQE,,Takes up at PSQE 20:35,PSQE,,20:35:00,
437,,,Limekiln,9,PSQE,Limekiln,,21:40:00,
437,,,Charlestown,9,Limekiln,Charlestown,,23:00:00,Duty 437 Finished Duty
437,14:44,,Reports at 14:44,,,,,,Duty 437 reports at 14:44
437,,14:47:00,Departs Garage,SPL,Reports at 14:44,Departs Garage,,14:47:00,
437,,,Ashington,122,Departs Garage,Ashington,,15:22:00,
437,,,Drimnagh,122,Ashington,Drimnagh,,16:52:00,
437,,,Ashington,122,Drimnagh,Ashington,,18:50:00,
437,,,PSQE,,Ashington,PSQE,19:25:00,,
437,,,Takes bus 10 (Route 9) at 20:35 PSQE,,,,,,Takes Bus 10 (Route 9) at 20:35 psqe
438,14:47,,Reports at 14:47,,,,,,Duty 438 reports at 14:47
438,,14:50:00,Departs Garage,SPL,Reports at 14:47,Departs Garage,,14:50:00,
438,,,Limekiln,9,Departs Garage,Limekiln,,15:48:00,
438,,,Charlestown,9,Limekiln,Charlestown,,17:45:00,
438,,,PSQE,,Charlestown,PSQE,18:30:00,,
438,,,Takes bus 10 (Route 122) at 19:30 PSQW,,,,,,Takes Bus 10 (Route 122) at 19:30 psqw
438,,,Takes up at PSQW 19:30,,,,,,Duty 438 takes up at 19:30
438,,,PSQW,,Takes up at PSQW 19:30,PSQW,,19:30:00,
438,,,Ashington,122,PSQW,Ashington,,20:15:00,
438,,,Drimnagh,122,Ashington,Drimnagh,,21:30:00,
438,,,Ashington,122,Drimnagh,Ashington,,22:45:00,
439,,,Takes up at PSQW 15:07,,,,,,
439,,,PSQW,,Takes up at PSQW 15:07,PSQW,,15:07:00,
439,,,Charlestown,9,PSQW,Charlestown,,16:00:00,
439,,,Limekiln,9,Charlestown,Limekiln,,17:55:00,
439,,,Charlestown,9,Limekiln,Charlestown,,19:40:00,
439,,,PSQE,,Charlestown,PSQE,20:20:00,,
439,,,Takes bus 6 (Route 9) at 21:30 PSQE,,,,,,Takes Bus 6 (Route 9) at 21:30 psqe
439,,,Phibsboro (007),ROUTE 9,Takes bus 6 (Route 9) at 21:30 PSQE,Phibsboro (007),,,
440,,,Takes up at PSQE 19:40,,,,,,
440,,,PSQE,,Takes up at PSQE 19:40,PSQE,,19:40:00,
440,,,Limekiln,9,PSQE,Limekiln,,20:40:00,
440,,,Charlestown,9,Limekiln,Charlestown,,22:00:00,
440,,,Limekiln,9,Charlestown,Limekiln,,23:20:00,
440,,,Charlestown,SPL,Limekiln,Charlestown,,,
440,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,,,
440,,,,,,,,,Duty 440 Finished Duty
440,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
440,,,Takes up at PSQE 15:15,,,,,,
440,,,PSQE,,Takes up at PSQE 15:15,PSQE,,15:15:00,
440,,,Drimnagh,122,PSQE,Drimnagh,,16:16:00,
440,,,Ashington,SPL,Drimnagh,Ashington,17:55:00,,
440,,,Phibsboro Garage,,Ashington,Phibsboro Garage,18:20:00,,
440,,,Takes bus 7 (Route 9) at 19:40 PSQE,,,,,,Takes Bus 7 (Route 9) at 19:40 psqe
440,,,Phibsboro (007),ROUTE 122,Takes bus 7 (Route 9) at 19:40 PSQE,Phibsboro (007),,,
441,,,Takes up at PSQW 15:19,,,,,,Duty 441 takes up at 15:19
441,,,PSQW,,Takes up at PSQW 15:19,PSQW,,15:19:00,
441,,,Charlestown,9,PSQW,Charlestown,,16:24:00,
441,,,Limekiln,9,Charlestown,Limekiln,,18:25:00,
441,,,Charlestown,9,Limekiln,Charlestown,,20:00:00,
441,,,PSQE,,Charlestown,PSQE,20:35:00,,
441,,,Takes bus 3 (Route 9) at 21:40 PSQW,,,,,,Takes Bus 17 (Route 9) at 12:52 psqe
442,,,Takes up at PSQW 19:45,,,,,,Duty 442 takes up at 19:45 duty
442,,,PSQW,,Takes up at PSQW 19:45,PSQW,,19:45:00,
442,,,Charlestown,9,PSQW,Charlestown,,20:40:00,
442,,,Takes up at PSQW 15:20,,,,,,
442,,,PSQW,,Takes up at PSQW 15:20,PSQW,,15:20:00,
442,,,Ashington,122,PSQW,Ashington,,16:10:00,
442,,,Drimnagh,122,Ashington,Drimnagh,,17:40:00,
442,,,PSQW,,Drimnagh,PSQW,18:35:00,,
442,,,Takes bus 14 (Route 9) at 19:45 PSQW,,,,,,Takes Bus 14 (Route 9) at 19:45 psqw
442,,,Phibsboro (007),ROUTE 122,Takes bus 14 (Route 9) at 19:45 PSQW,Phibsboro (007),,,
443,,,Takes up at PSQW 21:05,,,,,,Duty 443 takes up at 21:05
443,,,PSQW,,Takes up at PSQW 21:05,PSQW,,21:05:00,
443,,,Charlestown,9,PSQW,Charlestown,,21:40:00,
443,,,Limekiln,9,Charlestown,Limekiln,,23:00:00,
443,,,Charlestown,SPL,Limekiln,Charlestown,,,Duty 443 Finished Duty
443,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,,,
443,15:22,,Reports at 15:22,,,,,,Duty 443 reports at 15:22
443,,15:25:00,Departs Garage,SPL,Reports at 15:22,Departs Garage,,15:25:00,
443,,,Drimnagh,122,Departs Garage,Drimnagh,,16:04:00,
443,,,Ashington,122,Drimnagh,Ashington,,17:50:00,
443,,,Drimnagh,122,Ashington,Drimnagh,,19:20:00,
443,,,PSQW,,Drimnagh,PSQW,20:05:00,,
443,,,Takes bus 11 (Route 9) at 21:05 PSQW,,,,,,Takes Bus 11 (Route 9) at 21:05 psqw
444,,,Takes up at PSQE 21:50,,,,,,
444,,,PSQE,,Takes up at PSQE 21:50,PSQE,,21:50:00,
444,,,Limekiln,9,PSQE,Limekiln,,22:40:00,
444,,,Charlestown,SPL,Limekiln,Charlestown,23:50:00,,
444,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,,,
444,,,,,,,,,Duty 444 Finished Duty
444,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
444,15:27,,Reports at 15:27,,,,,,Duty 444 reports at 15:27
444,,15:30:00,Departs Garage,SPL,Reports at 15:27,Departs Garage,,15:30:00,
444,,,Charlestown,9,Departs Garage,Charlestown,,16:12:00,
444,,,Limekiln,9,Charlestown,Limekiln,,18:10:00,
444,,,Charlestown,SPL,Limekiln,Charlestown,20:00:00,,
444,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,20:25:00,,
444,,,Takes bus 20 (Route 9) at 21:50 PSQE,,,,,,Takes Bus 20 (Route 9) at 21:50 psqe
444,,,Phibsboro (007),ROUTE 122,Takes bus 20 (Route 9) at 21:50 PSQE,Phibsboro (007),,,
445,,,Takes up at PSQE 15:52,,,,,,Duty 445 takes up at 15:52
445,,,PSQE,,Takes up at PSQE 15:52,PSQE,,15:52:00,
445,,,Limekiln,9,PSQE,Limekiln,,17:00:00,
445,,,PSQW,,Limekiln,PSQW,17:55:00,,
445,,,Takes bus 2 (Route 122) at 18:55 PSQW,,PSQW,Takes bus 2 (Route 122) at 18:55 PSQW,,,Takes Bus 2 (Route 122) at 18:55 psqw
445,,,Takes up at PSQW 17:55,,Takes bus 2 (Route 122) at 18:55 PSQW,Takes up at PSQW 17:55,,,
445,,,Takes up at PSQW 18:55,,,,,,
445,,,PSQW,,Takes up at PSQW 18:55,PSQW,,18:55:00,
445,,,Ashington,122,PSQW,Ashington,,19:45:00,
445,,,Drimnagh,122,Ashington,Drimnagh,,21:00:00,
445,,,Ashington,122,Drimnagh,Ashington,,22:15:00,
445,,,Drimnagh (to City Centre),122,Ashington,Drimnagh (to City Centre),,,
445,,,PSQW,SPL,Drimnagh (to City Centre),PSQW,00:05:00,,
445,,,Phibsboro Garage,,PSQW,Phibsboro Garage,,,
445,,,,,,,,,Duty 445 Finished Duty
445,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
446,15:44,,Reports at 15:44,,,,,,Duty 446 reports at 15:44
446,,15:47:00,Departs Garage,SPL,Reports at 15:44,Departs Garage,,15:47:00,
446,,,Ashington,122,Departs Garage,Ashington,,16:22:00,
446,,,Drimnagh,122,Ashington,Drimnagh,,18:00:00,
446,,,PSQW,,Drimnagh,PSQW,18:55:00,,
446,,,Takes bus 16 (Route 122) at 20:05 PSQW,,,,,,Takes Bus 16 (Route 122) at 20:05 psqw
446,,,Takes up at PSQW 20:05,,,,,,
446,,,PSQW,,Takes up at PSQW 20:05,PSQW,,20:05:00,
446,,,Ashington,122,PSQW,Ashington,,20:45:00,
446,,,Drimnagh,122,Ashington,Drimnagh,,22:00:00,
446,,,Ashington,122,Drimnagh,Ashington,,23:10:00,
446,,,OCS,,Ashington,OCS,,23:30:00,
446,,,Drimnagh,SPL,OCS,Drimnagh,,,
446,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,,,
446,,,,,,,,,Duty 446 Finished Duty
447,,,Takes up at PSQE 16:04,,,,,,
447,,,PSQE,,Takes up at PSQE 16:04,PSQE,,16:04:00,
447,,,Limekiln,9,PSQE,Limekiln,,17:25:00,
447,,,PSQW,,Limekiln,PSQW,18:25:00,,
447,,,Takes bus 3 (Route 122) at 19:25 PSQE,,,,,,Takes Bus 3 (Route 122) at 19:25 psqe
447,,,Phibsboro (007),ROUTE 9,Takes bus 3 (Route 122) at 19:25 PSQE,Phibsboro (007),,,
447,,,Takes up at PSQE 19:25,,,,,,
447,,,PSQE,,Takes up at PSQE 19:25,PSQE,,19:25:00,
447,,,Drimnagh,122,PSQE,Drimnagh,,20:30:00,
447,,,Ashington,122,Drimnagh,Ashington,,21:45:00,
447,,,Drimnagh,122,Ashington,Drimnagh,,23:00:00,
447,,,OCS,,Drimnagh,OCS,,23:30:00,
447,,,Ashington,SPL,OCS,Ashington,,,
447,,,Phibsboro Garage,,Ashington,Phibsboro Garage,,,
447,,,,,,,,,Duty 447 Finished Duty
447,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
448,,,Takes up at PSQW 16:19,,,,,,
448,,,PSQW,,Takes up at PSQW 16:19,PSQW,,16:19:00,
448,,,Charlestown,9,PSQW,Charlestown,,17:15:00,
448,,,PSQE,,Charlestown,PSQE,18:00:00,,
448,,,Takes bus 7 (Route 122) at 19:05 PSQE,,,,,,Takes Bus 7 (Route 122) at 19:05 psqe
448,,,Phibsboro (007),ROUTE 9,Takes bus 7 (Route 122) at 19:05 PSQE,Phibsboro (007),,,
448,,,Takes up at PSQE 19:05,,,,,,
448,,,PSQE,,Takes up at PSQE 19:05,PSQE,,19:05:00,
448,,,Drimnagh,122,PSQE,Drimnagh,,20:05:00,
448,,,Ashington,122,Drimnagh,Ashington,,21:15:00,
448,,,Drimnagh,122,Ashington,Drimnagh,,22:30:00,
448,,,Ashington (to City Centre),122,Drimnagh,Ashington (to City Centre),,,
448,,,PSQE,SPL,Ashington (to City Centre),PSQE,,,
448,,,Phibsboro Garage,,PSQE,Phibsboro Garage,,,
448,,,,,,,,,Duty 448 Finished Duty
448,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
451,,,Takes up at PSQW 10:43,,,,,,
451,,,PSQW,,Takes up at PSQW 10:43,PSQW,,10:43:00,
451,,,Charlestown,9,PSQW,Charlestown,,11:36:00,Duty 451 Finished Duty
451,,,Limekiln,9,Charlestown,Limekiln,,13:24:00,
451,,,Charlestown,9,Limekiln,Charlestown,,15:12:00,
451,,,PSQE,,Charlestown,PSQE,15:52:00,,
451,,,,,,,,,Duty 451 Finished Duty
451,,,Phibsboro (007),ROUTE 9,PSQE,Phibsboro (007),,,
451,06:47,,Reports at 06:47,,,,,,Duty 451 reports at 06:47
451,,06:55:00,Departs Garage,SPL,Reports at 06:47,Departs Garage,,06:55:00,
451,,,Limekiln,9,Departs Garage,Limekiln,,07:45:00,
451,,,PSQW,,Limekiln,PSQW,08:50:00,,
451,,,Takes bus 2 (Route 9) at 10:43 PSQW,,,,,,Takes Bus 2 (Route 9) at 10:43 psqw
452,06:47,,Reports at 06:47,,,,,,Duty 452 reports at 06:47
452,,06:55:00,Departs Garage,SPL,Reports at 06:47,Departs Garage,,06:55:00,
452,,,Ashington,122,Departs Garage,Ashington,,07:25:00,
452,,,Drimnagh,122,Ashington,Drimnagh,,08:50:00,
452,,,Ashington,SPL,Drimnagh,Ashington,10:25:00,,
452,,,Phibsboro Garage,,Ashington,Phibsboro Garage,10:50:00,,
452,,,Takes bus 10 (Route 122) at 14:37 Garage,,,,,,Takes Bus 10 (Route 122) at 14:37 garage
452,14:37,,Reports at 14:37,,,,,,Duty 452 Finished Duty
452,,14:40:00,Departs Garage,SPL,Reports at 14:37,Departs Garage,,14:40:00,
452,,,Drimnagh,122,Departs Garage,Drimnagh,,15:28:00,
452,,,Ashington,122,Drimnagh,Ashington,,17:10:00,
452,,,PSQE,,Ashington,PSQE,17:45:00,,
452,,,,,,,,,Duty 452 Finished Duty
453,,,Takes up at PSQE 14:04,,,,,,
453,,,PSQE,,Takes up at PSQE 14:04,PSQE,,14:04:00,
453,,,Limekiln,9,PSQE,Limekiln,,15:12:00,
453,,,Charlestown,SPL,Limekiln,Charlestown,17:12:00,,
453,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,17:50:00,,
453,,,,,,,,,Duty 453 Finished Duty
453,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
453,06:47,,Reports at 06:47,,,,,,Duty 453 reports at 06:47
453,,06:55:00,Departs Garage,SPL,Reports at 06:47,Departs Garage,,06:55:00,
453,,,Drimnagh,122,Departs Garage,Drimnagh,,07:30:00,
453,,,Ashington,122,Drimnagh,Ashington,,09:10:00,
453,,,Drimnagh,122,Ashington,Drimnagh,,10:50:00,
453,,,PSQW,,Drimnagh,PSQW,11:40:00,,
453,,,Takes bus 5 (Route 9) at 14:04 PSQE,,,,,,Takes Bus 5 (Route 9) at 14:04 psqe
454,06:52,,Reports at 06:52,,,,,,Duty 454 reports at 06:52
454,,07:00:00,Departs Garage,SPL,Reports at 06:52,Departs Garage,,07:00:00,
454,,,Charlestown,9,Departs Garage,Charlestown,,07:35:00,
454,,,Limekiln,9,Charlestown,Limekiln,,09:36:00,
454,,,Charlestown,9,Limekiln,Charlestown,,11:24:00,
454,,,PSQE,,Charlestown,PSQE,12:04:00,,
454,,,Takes bus 9 (Route 122) at 15:40 PSQW,,,,,,Takes Bus 9 (Route 122) at 15:40 psqw
454,,,Takes up at PSQW 15:40,,,,,,
454,,,PSQW,,Takes up at PSQW 15:40,PSQW,,15:40:00,
454,,,Ashington,122,PSQW,Ashington,,16:34:00,
454,,,Drimnagh,SPL,Ashington,Drimnagh,18:10:00,,
454,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,18:45:00,,
454,,,,,,,,,Duty 454 Finished Duty
454,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
455,,,Takes up at PSQE 14:28,,,,,,
455,,,PSQE,,Takes up at PSQE 14:28,PSQE,,14:28:00,
455,,,Limekiln,9,PSQE,Limekiln,,15:36:00,
455,,,Charlestown,9,Limekiln,Charlestown,,17:30:00,
455,,,PSQE,,Charlestown,PSQE,18:15:00,,
455,,,,,,,,,Duty 455 Finished Duty
455,,,Phibsboro (007),ROUTE 9,PSQE,Phibsboro (007),,,
455,06:57,,Reports at 06:57,,,,,,Duty 455 reports at 06:57
455,,07:05:00,Departs Garage,SPL,Reports at 06:57,Departs Garage,,07:05:00,
455,,,Ashington,122,Departs Garage,Ashington,,07:35:00,
455,,,Drimnagh,122,Ashington,Drimnagh,,09:05:00,
455,,,Ashington,122,Drimnagh,Ashington,,10:40:00,
455,,,PSQE,,Ashington,PSQE,11:20:00,,
455,,,Takes bus 6 (Route 9) at 14:28 PSQE,,,,,,Takes Bus 6 (Route 9) at 14:28 psqe
456,,,Takes up at PSQW 10:55,,,,,,
456,,,PSQW,,Takes up at PSQW 10:55,PSQW,,10:55:00,
456,,,Charlestown,9,PSQW,Charlestown,,11:48:00,
456,,,Limekiln,9,Charlestown,Limekiln,,13:36:00,
456,,,Charlestown,9,Limekiln,Charlestown,,15:24:00,
456,,,PSQE,,Charlestown,PSQE,16:04:00,,
456,,,,,,,,,Duty 456 Finished Duty
456,07:07,,Reports at 07:07,,,,,,Duty 456 reports at 07:07
456,,07:15:00,Departs Garage,SPL,Reports at 07:07,Departs Garage,,07:15:00,
456,,,Limekiln,9,Departs Garage,Limekiln,,08:05:00,
456,,,PSQW,,Limekiln,PSQW,09:15:00,,
456,,,Takes bus 3 (Route 9) at 10:55 PSQW,,,,,,Takes Bus 3 (Route 9) at 10:55 psqw
457,,,Takes up at PSQW 14:38,,,,,,
457,,,PSQW,,Takes up at PSQW 14:38,PSQW,,14:38:00,
457,,,Charlestown,9,PSQW,Charlestown,,15:36:00,
457,,,Limekiln,SPL,Charlestown,Limekiln,17:29:00,,
457,,,Phibsboro Garage,,Limekiln,Phibsboro Garage,18:10:00,,
457,,,,,,,,,Duty 457 Finished Duty
457,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
457,07:12,,Reports at 07:12,,,,,,Duty 457 reports at 07:12
457,,07:20:00,Departs Garage,SPL,Reports at 07:12,Departs Garage,,07:20:00,
457,,,Drimnagh,122,Departs Garage,Drimnagh,,08:00:00,
457,,,Ashington,122,Drimnagh,Ashington,,09:40:00,
457,,,Drimnagh,SPL,Ashington,Drimnagh,11:25:00,,
457,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,11:55:00,,
457,,,Takes bus 4 (Route 9) at 14:38 PSQW,,,,,,Takes Bus 4 (Route 9) at 14:38 psqw
458,,,Takes up at PSQE 16:09,,,,,,
458,,,PSQE,,Takes up at PSQE 16:09,PSQE,,16:09:00,
458,,,Drimnagh,122,PSQE,Drimnagh,,17:04:00,
458,,,Ashington,SPL,Drimnagh,Ashington,18:45:00,,
458,,,Phibsboro Garage,,Ashington,Phibsboro Garage,19:05:00,,
458,,,,,,,,,Duty 458 Finished Duty
458,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
458,07:17,,Reports at 07:17,,,,,,Duty 458 reports at 07:17
458,,07:25:00,Departs Garage,SPL,Reports at 07:17,Departs Garage,,07:25:00,
458,,,Ashington,122,Departs Garage,Ashington,,07:55:00,
458,,,Drimnagh,122,Ashington,Drimnagh,,09:35:00,
458,,,Ashington,122,Drimnagh,Ashington,,11:00:00,
458,,,PSQE,,Ashington,PSQE,11:40:00,,
458,,,Takes bus 11 (Route 122) at 16:09 PSQE,,,,,,Takes Bus 11 (Route 122) at 16:09 psqe
459,07:27,,Reports at 07:27,,,,,,Duty 459 reports at 07:27
459,,07:35:00,Departs Garage,SPL,Reports at 07:27,Departs Garage,,07:35:00,
459,,,Charlestown,9,Departs Garage,Charlestown,,08:15:00,
459,,,PSQE,,Charlestown,PSQE,09:10:00,,
459,,,Takes bus 12 (Route 122) at 11:20 PSQE,,,,,,Takes Bus 12 (Route 122) at 11:20 psqe
459,,,Takes up at PSQE 11:20,,,,,,
459,,,PSQE,,Takes up at PSQE 11:20,PSQE,,11:20:00,
459,,,Drimnagh,122,PSQE,Drimnagh,,12:10:00,
459,,,Ashington,122,Drimnagh,Ashington,,13:40:00,
459,,,Drimnagh,122,Ashington,Drimnagh,,15:10:00,
459,,,PSQW,,Drimnagh,PSQW,16:00:00,,
459,,,,,,,,,Duty 459 Finished Duty
460,07:32,,Reports at 07:32,,,,,,Duty 460 reports at 07:32
460,,07:40:00,Departs Garage,SPL,Reports at 07:32,Departs Garage,,07:40:00,
460,,,Limekiln,9,Departs Garage,Limekiln,,08:30:00,
460,,,Charlestown,9,Limekiln,Charlestown,,10:24:00,
460,,,PSQE,,Charlestown,PSQE,11:04:00,,
460,,,Takes bus 19 (Route 9) at 15:16 PSQE,,,,,,Takes Bus 19 (Route 9) at 15:16 psqe
460,,,Takes up at PSQE 15:16,,,,,,
460,,,PSQE,,Takes up at PSQE 15:16,PSQE,,15:16:00,
460,,,Limekiln,9,PSQE,Limekiln,,16:30:00,
460,,,Charlestown,SPL,Limekiln,Charlestown,18:35:00,,
460,,,Phibsboro Garage,,Charlestown,Phibsboro Garage,19:00:00,,
460,,,,,,,,,Duty 460 Finished Duty
460,,,Phibsboro (007),ROUTE 9,Phibsboro Garage,Phibsboro (007),,,
461,,,Takes up at PSQW 15:00,,,,,,
461,,,PSQW,,Takes up at PSQW 15:00,PSQW,,15:00:00,
461,,,Ashington,122,PSQW,Ashington,,15:46:00,
461,,,Drimnagh,122,Ashington,Drimnagh,,17:16:00,
461,,,Ashington,SPL,Drimnagh,Ashington,18:55:00,,
461,,,Phibsboro Garage,,Ashington,Phibsboro Garage,19:15:00,,
461,,,,,,,,,Duty 461 Finished Duty
461,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
461,07:37,,Reports at 07:37,,,,,,Duty 461 reports at 07:37
461,,07:45:00,Departs Garage,SPL,Reports at 07:37,Departs Garage,,07:45:00,
461,,,Ashington,122,Departs Garage,Ashington,,08:15:00,
461,,,Drimnagh,SPL,Ashington,Drimnagh,09:50:00,,
461,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,10:35:00,,
461,,,Takes bus 1 (Route 122) at 15:00 PSQW,,,,,,Takes Bus 1 (Route 122) at 15:00 psqw
462,,,Takes up at PSQW 08:05,,,,,,
462,,,PSQW,,Takes up at PSQW 08:05,PSQW,,08:05:00,
462,,,Ashington,122,PSQW,Ashington,,08:55:00,Duty 462 Finished Duty
462,,,Drimnagh,122,Ashington,Drimnagh,,10:30:00,
462,,,Ashington,122,Drimnagh,Ashington,,12:00:00,
462,,,PSQE,,Ashington,PSQE,12:40:00,,
462,,,Takes bus 15 (Route 122) at 16:17 Garage,,,,,,Takes Bus 15 (Route 122) at 16:17 garage
462,16:17,,Reports at 16:17,,,,,,Duty 462 reports at 16:17
462,,16:20:00,Departs Garage,SPL,Reports at 16:17,Departs Garage,,16:20:00,
462,,,Ashington,122,Departs Garage,Ashington,,16:58:00,
462,,,Drimnagh,SPL,Ashington,Drimnagh,18:40:00,,
462,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,19:25:00,,
462,,,,,,,,,Duty 462 Finished Duty
462,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
463,15:20,,Reports at 15:20,,,,,,Duty 463 reports at 15:20
463,,15:23:00,Departs Garage,SPL,Reports at 15:20,Departs Garage,,15:23:00,
463,,,Ashington,122,Departs Garage,Ashington,,15:58:00,
463,,,Drimnagh,122,Ashington,Drimnagh,,17:28:00,
463,,,Ashington,SPL,Drimnagh,Ashington,19:03:00,,
463,,,Phibsboro Garage,,Ashington,Phibsboro Garage,19:30:00,,
463,,,,,,,,,Duty 463 Finished Duty
463,,,Phibsboro (007),ROUTE 122,Phibsboro Garage,Phibsboro (007),,,
463,07:57,,Reports at 07:57,,,,,,Duty 463 reports at 07:57
463,,08:05:00,Departs Garage,SPL,Reports at 07:57,Departs Garage,,08:05:00,
463,,,Ashington,122,Departs Garage,Ashington,,08:40:00,
463,,,Drimnagh,SPL,Ashington,Drimnagh,10:15:00,,
463,,,Phibsboro Garage,,Drimnagh,Phibsboro Garage,10:50:00,,
463,,,Takes bus 13 (Route 122) at 15:20 Garage,,,,,,Takes Bus 13 (Route 122) at 15:20 garage
464,08:02,,Reports at 08:02,,,,,,Duty 464 reports at 08:02
464,,08:10:00,Departs Garage,SPL,Reports at 08:02,Departs Garage,,08:10:00,
464,,,Limekiln,9,Departs Garage,Limekiln,,09:12:00,
464,,,Charlestown,9,Limekiln,Charlestown,,11:00:00,
464,,,PSQE,,Charlestown,PSQE,11:40:00,,
464,,,Takes bus 1 (Route 9) at 15:43 PSQW,,,,,,Takes Bus 1 (Route 9) at 15:43 psqw
465,,,Takes up at PSQW 08:35,,,,,,
465,,,PSQW,,Takes up at PSQW 08:35,PSQW,,08:35:00,
465,,,Ashington,122,PSQW,Ashington,,09:25:00,
465,,,Drimnagh,122,Ashington,Drimnagh,,11:10:00,
465,,,PSQW,,Drimnagh,PSQW,12:00:00,,
465,,,Takes bus 4 (Route 122) at 14:55 PSQE,,,,,,Takes Bus 4 (Route 122) at 14:55 psqe
465,,,Takes up at PSQE 14:55,,,,,,Duty 465 takes up at 14:55
465,,,PSQE,,Takes up at PSQE 14:55,PSQE,,14:55:00,
465,,,Drimnagh,122,PSQE,Drimnagh,,15:52:00,
465,,,Ashington,122,Drimnagh,Ashington,,17:35:00,
466,,,Takes up at PSQW 15:55,,,,,,Duty 466 takes up at 15:55
466,,,PSQW,,Takes up at PSQW 15:55,PSQW,,15:55:00,
466,,,Charlestown,9,PSQW,Charlestown,,17:00:00,
466,,,Takes up at PSQE 08:45,,,,,,Duty 466 Finished Duty
