Duty,Reports,Departs,Location,Route,From,To,Arrival,Departure,Notes
352,,,Hazelhatch,L59,Hazelhatch,Riverforest,11:37:00,12:15:00,
352,,,Riverforest,L59,Riverforest,Hazelhatch,12:15:00,12:55:00,
352,,,Garage,Finish,,,13:35:00,,
352,15:25:00,15:28:00,Garage,SPL,,,,,
352,,,Hazelhatch,L59,Hazelhatch,Riverforest,,16:08:00,
352,,,Riverforest,L59,Riverforest,Hazelhatch,16:45:00,17:20:00,
352,,,Garage,Finish,,,18:00:00,,Duty 352 Finished Duty
353,08:42:00,08:50:00,Garage,SPL,,,,,
353,,,Hazelhatch,L58,Hazelhatch,Riverforest,,09:30:00,
353,,,Riverforest,L58,Riverforest,Hazelhatch,10:00:00,10:40:00,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,10:40:00,11:15:00,
353,,,Riverforest,L59,Riverforest,Hazelhatch,11:15:00,12:03:00,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,12:03:00,12:43:00,
353,,,Garage,Finish,,,13:18:00,,
353,14:54:00,14:57:00,Garage,SPL,,,,,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,,15:37:00,
353,,,Riverforest,L59,Riverforest,Hazelhatch,16:15:00,17:09:00,
353,,,Hazelhatch,L59,Hazelhatch,Riverforest,17:09:00,17:45:00,
353,,,Garage,Finish,,,18:20:00,,Duty 353 Finished Duty
